,original_title,year_of_release,genres,summary,actors,Movie_COL
0,Uri: The Surgical Strike,2019,Action Drama War,Indian army special forces execute a covert operation  avenging the killing of fellow army men at their base by a terrorist group.,Vicky Kaushal,Uri: The Surgical Strike Action Drama War Indian army special forces execute a covert operation  avenging the killing of fellow army men at their base by a terrorist group. Vicky Kaushal
1,Battalion 609,2019,War,The story of Battalion 609 revolves around a cricket match between the Indian Army and the Pakistan army gone wrong and narrates the tale of the brave soldiers of Battalion 609 putting up a fight with the mighty Taliban.,Vicky Ahuja,Battalion 609 War The story of Battalion 609 revolves around a cricket match between the Indian Army and the Pakistan army gone wrong and narrates the tale of the brave soldiers of Battalion 609 putting up a fight with the mighty Taliban. Vicky Ahuja
2,The Accidental Prime Minister,2019,Biography Drama,Explores Manmohan Singh's tenure as the Prime Minister of India and the kind of control he had over the cabinet and the country.,Anupam Kher,The Accidental Prime Minister Biography Drama Explores Manmohan Singh's tenure as the Prime Minister of India and the kind of control he had over the cabinet and the country. Anupam Kher
3,Why Cheat India,2019,Crime Drama,The movie focuses on existing malpractices in country's education system  the whole concept of buying your way through education  jobs and earnings. Even with an evolving education system  ...                    ,Emraan Hashmi,Why Cheat India Crime Drama The movie focuses on existing malpractices in country's education system  the whole concept of buying your way through education  jobs and earnings. Even with an evolving education system  ...                     Emraan Hashmi
4,Evening Shadows,2018,Drama,Under the 'Evening Shadows'  truth often plays hide and seek. Set in South India and Mumbai  'Evening Shadows' is a tender heartwarming story about a mother-son bond that has to withstand the ravages of time  distance and truths.,Mona Ambegaonkar,Evening Shadows Drama Under the 'Evening Shadows'  truth often plays hide and seek. Set in South India and Mumbai  'Evening Shadows' is a tender heartwarming story about a mother-son bond that has to withstand the ravages of time  distance and truths. Mona Ambegaonkar
5,Soni,2018,Drama,While fighting crimes against women in Delhi  a short-fused policewoman and her level-headed female boss grapple with gender issues in their own lives.,Geetika Vidya Ohlyan,Soni Drama While fighting crimes against women in Delhi  a short-fused policewoman and her level-headed female boss grapple with gender issues in their own lives. Geetika Vidya Ohlyan
6,Fraud Saiyyan,2019,Comedy Drama,Fraud Saiyyan is the story of a con artist in North India who convinces women to marry him just so he can live off their money.,Arshad Warsi,Fraud Saiyyan Comedy Drama Fraud Saiyyan is the story of a con artist in North India who convinces women to marry him just so he can live off their money. Arshad Warsi
7,Bombairiya,2019,Comedy Crime Drama,It follows the story of Meghna  who gets embroiled in a series of events after her phone gets stolen.,Radhika Apte,Bombairiya Comedy Crime Drama It follows the story of Meghna  who gets embroiled in a series of events after her phone gets stolen. Radhika Apte
8,Manikarnika: The Queen of Jhansi,2019,Action Biography Drama,Story of Rani Lakshmibai  one of the leading figures of the Indian Rebellion of 1857 and her resistance to the British Rule.,Kangana Ranaut,Manikarnika: The Queen of Jhansi Action Biography Drama Story of Rani Lakshmibai  one of the leading figures of the Indian Rebellion of 1857 and her resistance to the British Rule. Kangana Ranaut
9,Thackeray,2019,Biography Drama,Biographical account of Shiv Sena Supremo  Balasaheb Thackeray.,Nawazuddin Siddiqui,Thackeray Biography Drama Biographical account of Shiv Sena Supremo  Balasaheb Thackeray. Nawazuddin Siddiqui
10,Amavas,2019,Horror Thriller,The lives of a couple turn into a nightmare  as dark forces lie in wait beneath the shadows of the haunted bungalow in which they have decided to stay.,Ali Asgar,Amavas Horror Thriller The lives of a couple turn into a nightmare  as dark forces lie in wait beneath the shadows of the haunted bungalow in which they have decided to stay. Ali Asgar
11,Gully Boy,2019,Drama Music,A coming-of-age story based on the lives of street rappers in Mumbai.,Ranveer Singh,Gully Boy Drama Music A coming-of-age story based on the lives of street rappers in Mumbai. Ranveer Singh
12,Hum chaar,2019,Drama,The story of the film revolves around four college friends went their own direction in life  but remained inseparable from each other.,Prit Kamani,Hum chaar Drama The story of the film revolves around four college friends went their own direction in life  but remained inseparable from each other. Prit Kamani
13,Total Dhamaal,2019,Action Adventure Comedy,A group of people learn about a hidden treasure and then they race to find it and claim it.,Ajay Devgn,Total Dhamaal Action Adventure Comedy A group of people learn about a hidden treasure and then they race to find it and claim it. Ajay Devgn
14,Sonchiriya,2019,Action Crime Drama,Set in the Chambal valley  the film follows the story of a legion of dreaded  warring dacoits who once terrorized the Indian heartlands.,Sushant Singh Rajput,Sonchiriya Action Crime Drama Set in the Chambal valley  the film follows the story of a legion of dreaded  warring dacoits who once terrorized the Indian heartlands. Sushant Singh Rajput
15,Badla,2019,Crime Drama Mystery,A dynamic young entrepreneur finds herself locked in a hotel room with the corpse of her dead lover. She hires a prestigious lawyer to defend her and they work together to figure out what actually happened.,Amitabh Bachchan,Badla Crime Drama Mystery A dynamic young entrepreneur finds herself locked in a hotel room with the corpse of her dead lover. She hires a prestigious lawyer to defend her and they work together to figure out what actually happened. Amitabh Bachchan
16,Mard Ko Dard Nahin Hota,2018,Action Comedy,It is a story of a young boy Surya who has a rare condition of Congenital Insensitivity to pain meaning he can not feel pain  and he sets out to learn martial arts and hunt down muggers.,Abhimanyu Dasani,Mard Ko Dard Nahin Hota Action Comedy It is a story of a young boy Surya who has a rare condition of Congenital Insensitivity to pain meaning he can not feel pain  and he sets out to learn martial arts and hunt down muggers. Abhimanyu Dasani
17,Hamid,2018,Drama,Eight year-old Hamid learns that 786 is God's number and decides to try and reach out to God  by dialing this number. He wants to talk to his father  who his mother tells him has gone to Allah. One fine day the phone call is answered.,Talha Arshad Reshi,Hamid Drama Eight year-old Hamid learns that 786 is God's number and decides to try and reach out to God  by dialing this number. He wants to talk to his father  who his mother tells him has gone to Allah. One fine day the phone call is answered. Talha Arshad Reshi
18,Photograph,2019,Drama Romance,A struggling street photographer in Mumbai  pressured to marry by his grandmother  convinces a shy stranger to pose as his fiancée. The pair develop a connection that transforms them in ways they could not expect.,Nawazuddin Siddiqui,Photograph Drama Romance A struggling street photographer in Mumbai  pressured to marry by his grandmother  convinces a shy stranger to pose as his fiancée. The pair develop a connection that transforms them in ways they could not expect. Nawazuddin Siddiqui
19,Risknamaa,2019,Thriller,Sher Singh is the Sarpanch of his village. Whose same order for all  that whoever loves  will get the death punishment only. In this way Sher Singh has killed so many boys and girls  who ...                    ,Garima Agarwal,Risknamaa Thriller Sher Singh is the Sarpanch of his village. Whose same order for all  that whoever loves  will get the death punishment only. In this way Sher Singh has killed so many boys and girls  who ...                     Garima Agarwal
20,Mere Pyare Prime Minister,2018,Drama,A story about four children living in a Mumbai slum in India. An eight-year old Kanhu writes a letter to the Prime Minister after a dramatic incident with his mother. A small boy has to achieve the impossible.,Rasika Agashe,Mere Pyare Prime Minister Drama A story about four children living in a Mumbai slum in India. An eight-year old Kanhu writes a letter to the Prime Minister after a dramatic incident with his mother. A small boy has to achieve the impossible. Rasika Agashe
21,22 Yards,2019,Sport,A dramatic portrayal of a victorious tale of a fallen cricket agent and a young cricketer.,Barun Sobti,22 Yards Sport A dramatic portrayal of a victorious tale of a fallen cricket agent and a young cricketer. Barun Sobti
22,Kesari,2019,Action Drama History,Based on an incredible true story of the Battle of Saragarhi in which an army of 21 Sikhs fought against 10 000 Afghans in 1897.,Akshay Kumar,Kesari Action Drama History Based on an incredible true story of the Battle of Saragarhi in which an army of 21 Sikhs fought against 10 000 Afghans in 1897. Akshay Kumar
23,Notebook,2019,Drama Romance,An ex-army officer  Kabir  becomes a teacher in Kashmir in a school that is in a miserable condition. Things take a turn when Kabir finds a notebook  left behind by the previous year's teacher Firdaus (Pranutan Bahl).,Zaheer Iqbal,Notebook Drama Romance An ex-army officer  Kabir  becomes a teacher in Kashmir in a school that is in a miserable condition. Things take a turn when Kabir finds a notebook  left behind by the previous year's teacher Firdaus (Pranutan Bahl). Zaheer Iqbal
24,Junglee,2019,Action Adventure,The story revolves around a vet  who on his homecoming to his father's elephant reserve  encounters and fights an international poachers racket.,Vidyut Jammwal,Junglee Action Adventure The story revolves around a vet  who on his homecoming to his father's elephant reserve  encounters and fights an international poachers racket. Vidyut Jammwal
25,Gone Kesh,2019,Drama,Enakshi is diagnosed with Alopecia  where she begins to lose hair from her scalp. Although she finds her temporary fix to this  it begins to steal previous years of her youth and takes her life by a storm. Will she be able to find a cure?,Deepika Amin,Gone Kesh Drama Enakshi is diagnosed with Alopecia  where she begins to lose hair from her scalp. Although she finds her temporary fix to this  it begins to steal previous years of her youth and takes her life by a storm. Will she be able to find a cure? Deepika Amin
26,Albert Pinto Ko Gussa Kyun Aata Hai?,2019,Drama,Albert Pinto goes missing one day and his girlfriend and family start making rounds at the police station to track him down. Unknown to them  he is on his way to Goa to carry out his first assignment as a hitman.,Manav Kaul,Albert Pinto Ko Gussa Kyun Aata Hai? Drama Albert Pinto goes missing one day and his girlfriend and family start making rounds at the police station to track him down. Unknown to them  he is on his way to Goa to carry out his first assignment as a hitman. Manav Kaul
27,The Tashkent Files,2019,Drama Mystery Thriller,The Tashkent Files is a thriller that revolves around the mysterious death of India's 2nd Prime Minister Shri Lal Bahadur Shastri and attempts to uncover if he had actually died a natural death  or  as alleged  was assassinated.,Naseeruddin Shah,The Tashkent Files Drama Mystery Thriller The Tashkent Files is a thriller that revolves around the mysterious death of India's 2nd Prime Minister Shri Lal Bahadur Shastri and attempts to uncover if he had actually died a natural death  or  as alleged  was assassinated. Naseeruddin Shah
28,Kalank,2019,Drama Romance,The lives of six enigmatic characters become entangled whilst in search of love  but separated by the dichotomy between the two worlds of Husnabad  a town in North India.,Varun Dhawan,Kalank Drama Romance The lives of six enigmatic characters become entangled whilst in search of love  but separated by the dichotomy between the two worlds of Husnabad  a town in North India. Varun Dhawan
29,Setters,2019,Thriller,A thriller set in Benares  Jaipur  Mumbai and Delhi  Setters is about a racket profiteering from academic scams. The film follows a cat-and-mouse game between two good friends: one a cop  ...                    ,Shreyas Talpade,Setters Thriller A thriller set in Benares  Jaipur  Mumbai and Delhi  Setters is about a racket profiteering from academic scams. The film follows a cat-and-mouse game between two good friends: one a cop  ...                     Shreyas Talpade
30,Student of the Year 2,2019,Drama Romance Sport,A student must face off against bullies and overcome hurdles  both academic and romantic  to win his college's coveted Student of the Year trophy.,Tiger Shroff,Student of the Year 2 Drama Romance Sport A student must face off against bullies and overcome hurdles  both academic and romantic  to win his college's coveted Student of the Year trophy. Tiger Shroff
31,PM Narendra Modi,2019,Biography Drama,Biography of India's Prime Minister Shri Narendra Modi.,Boman Irani,PM Narendra Modi Biography Drama Biography of India's Prime Minister Shri Narendra Modi. Boman Irani
32,De De Pyaar De,2019,Comedy Romance,A 50-year-old single father faces disapproval from his family and his ex-wife when he falls in love with a 26-year-old woman.,Ajay Devgn,De De Pyaar De Comedy Romance A 50-year-old single father faces disapproval from his family and his ex-wife when he falls in love with a 26-year-old woman. Ajay Devgn
33,India's Most Wanted,2019,Action Thriller,A group of intelligence officers embark on a top secret mission to track down a wanted international criminal.,Arjun Kapoor,India's Most Wanted Action Thriller A group of intelligence officers embark on a top secret mission to track down a wanted international criminal. Arjun Kapoor
34,Yeh Hai India,2017,Action Adventure Drama,Yeh Hai India  follows the story of a 25 years old NRI  who is born and brought up in UK. He shares the same stereotypical views about India that most NRIs have and how his perception changes.,Gavie Chahal,Yeh Hai India Action Adventure Drama Yeh Hai India  follows the story of a 25 years old NRI  who is born and brought up in UK. He shares the same stereotypical views about India that most NRIs have and how his perception changes. Gavie Chahal
35,Khamoshi,2019,Horror Thriller,A remake of an English movie Hush (2016)  where a deaf and mute girl must fight for her life when a killer appears at her door.,Prabhu Deva,Khamoshi Horror Thriller A remake of an English movie Hush (2016)  where a deaf and mute girl must fight for her life when a killer appears at her door. Prabhu Deva
36,Kabir Singh,2019,Drama Romance,Kabir Singh is a remake of a Telugu movie Arjun Reddy (2017)  where a short-tempered house surgeon gets used to drugs and drinks when his girlfriend is forced to marry another person.,Shahid Kapoor,Kabir Singh Drama Romance Kabir Singh is a remake of a Telugu movie Arjun Reddy (2017)  where a short-tempered house surgeon gets used to drugs and drinks when his girlfriend is forced to marry another person. Shahid Kapoor
37,Article 15,2019,Crime Drama,In the rural heartlands of India  an upright police officer sets out on a crusade against violent caste-based crimes and discrimination.,Ayushmann Khurrana,Article 15 Crime Drama In the rural heartlands of India  an upright police officer sets out on a crusade against violent caste-based crimes and discrimination. Ayushmann Khurrana
