CMDLINE python3 app.py
MEM 0.027344 1622493162.7976
MEM 4.789062 1622493162.9074
MEM 7.000000 1622493163.0159
MEM 9.664062 1622493163.1251
MEM 12.945312 1622493163.2332
MEM 16.007812 1622493163.3442
MEM 21.687500 1622493163.4504
MEM 23.648438 1622493163.5607
MEM 24.679688 1622493163.6701
MEM 26.738281 1622493163.7792
MEM 28.894531 1622493163.8858
MEM 31.425781 1622493163.9968
MEM 34.593750 1622493164.1063
MEM 35.316406 1622493164.2151
MEM 38.050781 1622493164.3238
MEM 38.687500 1622493164.4353
MEM 40.031250 1622493164.5428
MEM 40.957031 1622493164.6546
MEM 42.812500 1622493164.7648
MEM 45.460938 1622493164.8729
MEM 47.789062 1622493164.9828
MEM 49.828125 1622493165.0903
MEM 51.070312 1622493165.1981
MEM 53.597656 1622493165.3076
MEM 57.027344 1622493165.4177
MEM 59.570312 1622493165.5273
MEM 61.695312 1622493165.6369
MEM 64.179688 1622493165.7482
MEM 65.777344 1622493165.8559
MEM 67.734375 1622493165.9644
MEM 69.652344 1622493166.0765
MEM 71.644531 1622493166.1877
MEM 74.171875 1622493166.2950
MEM 75.753906 1622493166.4047
MEM 77.542969 1622493166.5156
MEM 80.242188 1622493166.6265
MEM 82.421875 1622493166.7321
MEM 84.617188 1622493166.8443
MEM 98.496094 1622493166.9540
MEM 117.007812 1622493167.0624
MEM 134.683594 1622493167.1726
MEM 152.234375 1622493167.2783
MEM 169.769531 1622493167.3855
MEM 187.160156 1622493167.4934
MEM 200.503906 1622493167.6022
MEM 215.574219 1622493167.7101
MEM 229.054688 1622493167.8194
MEM 244.578125 1622493167.9249
MEM 246.980469 1622493168.0350
MEM 233.421875 1622493168.1408
MEM 233.777344 1622493168.2465
MEM 235.417969 1622493168.3539
MEM 222.472656 1622493168.4603
MEM 229.460938 1622493168.5666
MEM 233.996094 1622493168.6738
MEM 236.480469 1622493168.7856
MEM 237.703125 1622493168.8945
MEM 238.984375 1622493169.0016
MEM 240.902344 1622493169.1124
MEM 243.351562 1622493169.2199
MEM 168.695312 1622493169.3290
MEM 120.605469 1622493169.4381
